district,population
BELAGAVI,4779661
BAGALKOT ,1889752
VIJAYAPURA,2177331
BIDAR,1703300
RAICHUR,1928812
KOPPAL,1389920
GADAG,1064570
DHARWAD,1847023
UTTARA KANNADA,1437169
HAVERI,1597668
BELLARY,2452595
CHITRADURGA,1659456
DAVANAGERE,1945497
SHIMOGA,1752753
UDUPI,1177361
CHIKMAGALUR,1137961
TUMKUR,2678980
BANGALORE,9621551
MANDYA,1805769
HASSAN,1776421
DAKSHINA KANNADA,2089649
KODAGU,554519
MYSURU,3001127
CHAMARAJANAGAR,1020791
KALABURAGI,2566326
YADGIR,1174271
KOLAR,1536401
CHIKKABALLAPURA,1255104
BENGALURU RURAL,990923
RAMANAGARA,1082636
